<3	heart
</3	broken_heart
:)	blush
(:	blush
:-)	blush
C:	smile
c:	smile
:D	smile
:-D	smile
;)	wink
;-)	wink
):	disappointed
:(	disappointed
:-(	disappointed
:'(	cry
=)	smiley
=-)	smiley
:*	kiss
:-*	kiss
:>	laughing
:->	laughing
8)	sunglasses
:\\	confused
:-\\	confused
:/	confused
:-/	confused
:|	neutral_face
:-|	neutral_face
:o	open_mouth
:-o	open_mouth
>:(	angry
>:-(	angry
:p	stuck_out_tongue
:-p	stuck_out_tongue
:P	stuck_out_tongue
:-P	stuck_out_tongue
:b	stuck_out_tongue
:-b	stuck_out_tongue
;p	stuck_out_tongue_winking_eye
;-p	stuck_out_tongue_winking_eye
;b	stuck_out_tongue_winking_eye
;-b	stuck_out_tongue_winking_eye
;P	stuck_out_tongue_winking_eye
;-P	stuck_out_tongue_winking_eye
:o)	monkey_face
D:	anguished
