0023-20E3;hash
0030-20E3;zero
0031-20E3;one
0032-20E3;two
0033-20E3;three
0034-20E3;four
0035-20E3;five
0036-20E3;six
0037-20E3;seven
0038-20E3;eight
0039-20E3;nine
00A9;copyright
00AE;registered
1F004;mahjong
1F0CF;black_joker
1F170;a
1F171;b
1F17E;o2
1F17F;parking
1F18E;ab
1F191;cl
1F192;cool
1F193;free
1F194;id
1F195;new
1F196;ng
1F197;ok
1F198;sos
1F199;up
1F19A;vs
1F1E8-1F1F3;cn
1F1E9-1F1EA;de
1F1EA-1F1F8;es
1F1EB-1F1F7;fr
1F1EC-1F1E7;gb/uk
1F1EE-1F1F9;it
1F1EF-1F1F5;jp
1F1F0-1F1F7;kr
1F1F7-1F1FA;ru
1F1FA-1F1F8;us
1F201;koko
1F202;sa
1F21A;u7121
1F22F;u6307
1F232;u7981
1F233;u7a7a
1F234;u5408
1F235;u6e80
1F236;u6709
1F237;u6708
1F238;u7533
1F239;u5272
1F23A;u55b6
1F250;ideograph_advantage
1F251;accept
1F300;cyclone
1F301;foggy
1F302;closed_umbrella
1F303;night_with_stars
1F304;sunrise_over_mountains
1F305;sunrise
1F306;city_sunset
1F307;city_sunrise
1F308;rainbow
1F309;bridge_at_night
1F30A;ocean
1F30B;volcano
1F30C;milky_way
1F30D;earth_africa
1F30E;earth_americas
1F30F;earth_asia
1F310;globe_with_meridians
1F311;new_moon
1F312;waxing_crescent_moon
1F313;first_quarter_moon
1F314;moon/waxing_gibbous_moon
1F315;full_moon
1F316;waning_gibbous_moon
1F317;last_quarter_moon
1F318;waning_crescent_moon
1F319;crescent_moon
1F31A;new_moon_with_face
1F31B;first_quarter_moon_with_face
1F31C;last_quarter_moon_with_face
1F31D;full_moon_with_face
1F31E;sun_with_face
1F31F;star2
1F320;stars
1F330;chestnut
1F331;seedling
1F332;evergreen_tree
1F333;deciduous_tree
1F334;palm_tree
1F335;cactus
1F337;tulip
1F338;cherry_blossom
1F339;rose
1F33A;hibiscus
1F33B;sunflower
1F33C;blossom
1F33D;corn
1F33E;ear_of_rice
1F33F;herb
1F340;four_leaf_clover
1F341;maple_leaf
1F342;fallen_leaf
1F343;leaves
1F344;mushroom
1F345;tomato
1F346;eggplant
1F347;grapes
1F348;melon
1F349;watermelon
1F34A;tangerine
1F34B;lemon
1F34C;banana
1F34D;pineapple
1F34E;apple
1F34F;green_apple
1F350;pear
1F351;peach
1F352;cherries
1F353;strawberry
1F354;hamburger
1F355;pizza
1F356;meat_on_bone
1F357;poultry_leg
1F358;rice_cracker
1F359;rice_ball
1F35A;rice
1F35B;curry
1F35C;ramen
1F35D;spaghetti
1F35E;bread
1F35F;fries
1F360;sweet_potato
1F361;dango
1F362;oden
1F363;sushi
1F364;fried_shrimp
1F365;fish_cake
1F366;icecream
1F367;shaved_ice
1F368;ice_cream
1F369;doughnut
1F36A;cookie
1F36B;chocolate_bar
1F36C;candy
1F36D;lollipop
1F36E;custard
1F36F;honey_pot
1F370;cake
1F371;bento
1F372;stew
1F373;egg
1F374;fork_and_knife
1F375;tea
1F376;sake
1F377;wine_glass
1F378;cocktail
1F379;tropical_drink
1F37A;beer
1F37B;beers
1F37C;baby_bottle
1F380;ribbon
1F381;gift
1F382;birthday
1F383;jack_o_lantern
1F384;christmas_tree
1F385;santa
1F386;fireworks
1F387;sparkler
1F388;balloon
1F389;tada
1F38A;confetti_ball
1F38B;tanabata_tree
1F38C;crossed_flags
1F38D;bamboo
1F38E;dolls
1F38F;flags
1F390;wind_chime
1F391;rice_scene
1F392;school_satchel
1F393;mortar_board
1F3A0;carousel_horse
1F3A1;ferris_wheel
1F3A2;roller_coaster
1F3A3;fishing_pole_and_fish
1F3A4;microphone
1F3A5;movie_camera
1F3A6;cinema
1F3A7;headphones
1F3A8;art
1F3A9;tophat
1F3AA;circus_tent
1F3AB;ticket
1F3AC;clapper
1F3AD;performing_arts
1F3AE;video_game
1F3AF;dart
1F3B0;slot_machine
1F3B1;8ball
1F3B2;game_die
1F3B3;bowling
1F3B4;flower_playing_cards
1F3B5;musical_note
1F3B6;notes
1F3B7;saxophone
1F3B8;guitar
1F3B9;musical_keyboard
1F3BA;trumpet
1F3BB;violin
1F3BC;musical_score
1F3BD;running_shirt_with_sash
1F3BE;tennis
1F3BF;ski
1F3C0;basketball
1F3C1;checkered_flag
1F3C2;snowboarder
1F3C3;runner/running
1F3C4;surfer
1F3C6;trophy
1F3C7;horse_racing
1F3C8;football
1F3C9;rugby_football
1F3CA;swimmer
1F3E0;house
1F3E1;house_with_garden
1F3E2;office
1F3E3;post_office
1F3E4;european_post_office
1F3E5;hospital
1F3E6;bank
1F3E7;atm
1F3E8;hotel
1F3E9;love_hotel
1F3EA;convenience_store
1F3EB;school
1F3EC;department_store
1F3ED;factory
1F3EE;izakaya_lantern/lantern
1F3EF;japanese_castle
1F3F0;european_castle
1F400;rat
1F401;mouse2
1F402;ox
1F403;water_buffalo
1F404;cow2
1F405;tiger2
1F406;leopard
1F407;rabbit2
1F408;cat2
1F409;dragon
1F40A;crocodile
1F40B;whale2
1F40C;snail
1F40D;snake
1F40E;racehorse
1F40F;ram
1F410;goat
1F411;sheep
1F412;monkey
1F413;rooster
1F414;chicken
1F415;dog2
1F416;pig2
1F417;boar
1F418;elephant
1F419;octopus
1F41A;shell
1F41B;bug
1F41C;ant
1F41D;bee/honeybee
1F41E;beetle
1F41F;fish
1F420;tropical_fish
1F421;blowfish
1F422;turtle
1F423;hatching_chick
1F424;baby_chick
1F425;hatched_chick
1F426;bird
1F427;penguin
1F428;koala
1F429;poodle
1F42A;dromedary_camel
1F42B;camel
1F42C;dolphin/flipper
1F42D;mouse
1F42E;cow
1F42F;tiger
1F430;rabbit
1F431;cat
1F432;dragon_face
1F433;whale
1F434;horse
1F435;monkey_face
1F436;dog
1F437;pig
1F438;frog
1F439;hamster
1F43A;wolf
1F43B;bear
1F43C;panda_face
1F43D;pig_nose
1F43E;feet/paw_prints
1F440;eyes
1F442;ear
1F443;nose
1F444;lips
1F445;tongue
1F446;point_up_2
1F447;point_down
1F448;point_left
1F449;point_right
1F44A;facepunch/punch
1F44B;wave
1F44C;ok_hand
1F44D;+1/thumbsup
1F44E;-1/thumbsdown
1F44F;clap
1F450;open_hands
1F451;crown
1F452;womans_hat
1F453;eyeglasses
1F454;necktie
1F455;shirt/tshirt
1F456;jeans
1F457;dress
1F458;kimono
1F459;bikini
1F45A;womans_clothes
1F45B;purse
1F45C;handbag
1F45D;pouch
1F45E;mans_shoe/shoe
1F45F;athletic_shoe
1F460;high_heel
1F461;sandal
1F462;boot
1F463;footprints
1F464;bust_in_silhouette
1F465;busts_in_silhouette
1F466;boy
1F467;girl
1F468;man
1F469;woman
1F46A;family/man-woman-boy
1F46B;couple/man_and_woman_holding_hands
1F46C;two_men_holding_hands
1F46D;two_women_holding_hands
1F46E;cop
1F46F;dancers
1F470;bride_with_veil
1F471;person_with_blond_hair
1F472;man_with_gua_pi_mao
1F473;man_with_turban
1F474;older_man
1F475;older_woman
1F476;baby
1F477;construction_worker
1F478;princess
1F479;japanese_ogre
1F47A;japanese_goblin
1F47B;ghost
1F47C;angel
1F47D;alien
1F47E;space_invader
1F47F;imp
1F480;skull
1F481;information_desk_person
1F482;guardsman
1F483;dancer
1F484;lipstick
1F485;nail_care
1F486;massage
