# skin tone patches
1F3FB;skin-tone-2
1F3FC;skin-tone-3
1F3FD;skin-tone-4
1F3FE;skin-tone-5
1F3FF;skin-tone-6

# spock hand
1F596;spock-hand

# new keycap. :star: is already used by U+2B50
002A-20E3;keycap_star

# families
1F468-200D-1F469-200D-1F466;man-woman-boy
1F468-200D-1F469-200D-1F467;man-woman-girl
1F468-200D-1F469-200D-1F467-200D-1F466;man-woman-girl-boy
1F468-200D-1F469-200D-1F466-200D-1F466;man-woman-boy-boy
1F468-200D-1F469-200D-1F467-200D-1F467;man-woman-girl-girl

1F469-200D-1F469-200D-1F466;woman-woman-boy
1F469-200D-1F469-200D-1F467;woman-woman-girl
1F469-200D-1F469-200D-1F467-200D-1F466;woman-woman-girl-boy
1F469-200D-1F469-200D-1F466-200D-1F466;woman-woman-boy-boy
1F469-200D-1F469-200D-1F467-200D-1F467;woman-woman-girl-girl
1F468-200D-1F468-200D-1F466;man-man-boy
1F468-200D-1F468-200D-1F467;man-man-girl
1F468-200D-1F468-200D-1F467-200D-1F466;man-man-girl-boy
1F468-200D-1F468-200D-1F466-200D-1F466;man-man-boy-boy
1F468-200D-1F468-200D-1F467-200D-1F467;man-man-girl-girl

1F469-200D-2764-FE0F-200D-1F469;woman-heart-woman
1F468-200D-2764-FE0F-200D-1F468;man-heart-man
1F469-200D-2764-FE0F-200D-1F48B-200D-1F469;woman-kiss-woman
1F468-200D-2764-FE0F-200D-1F48B-200D-1F468;man-kiss-man

# iOS 9.1 additions
1F321;thermometer
#1F324;WHITE SUN WITH SMALL CLOUD
#1F325;WHITE SUN BEHIND CLOUD
#1F326;WHITE SUN BEHIND CLOUD WITH RAIN
#1F327;CLOUD WITH RAIN
#1F328;CLOUD WITH SNOW
#1F329;CLOUD WITH LIGHTNING
#1F32A;CLOUD WITH TORNADO
1F32B;fog
#1F32C;WIND BLOWING FACE
1F32D;hotdog
1F32E;taco
1F32F;burrito
1F336;hot-pepper
#1F37D;FORK AND KNIFE WITH PLATE
#1F37E;BOTTLE WITH POPPING CORK
1F37F;popcorn
#1F396;MILITARY MEDAL
#1F397;REMINDER RIBBON
#1F399;STUDIO MICROPHONE
#1F39A;LEVEL SLIDER
#1F39B;CONTROL KNOBS
#1F39E;FILM FRAMES
#1F39F;ADMISSION TICKETS
#1F3C5;SPORTS MEDAL
#1F3CB;WEIGHT LIFTER
1F3CC;golfer
#1F3CD;RACING MOTORCYCLE
#1F3CE;RACING CAR
#1F3CF;CRICKET BAT AND BALL
1F3D0;volleyball
#1F3D1;FIELD HOCKEY STICK AND BALL
#1F3D2;ICE HOCKEY STICK AND PUCK
#1F3D3;TABLE TENNIS PADDLE AND BALL
#1F3D4;SNOW CAPPED MOUNTAIN
1F3D5;camping
#1F3D6;BEACH WITH UMBRELLA
#1F3D7;BUILDING CONSTRUCTION
#1F3D8;HOUSE BUILDINGS
1F3D9;cityscape
#1F3DA;DERELICT HOUSE BUILDING
#1F3DB;CLASSICAL BUILDING
1F3DC;desert
1F3DD;desert-island
#1F3DE;NATIONAL PARK
1F3DF;stadium
#1F3F3;WAVING WHITE FLAG
#1F3F4;WAVING BLACK FLAG
1F3F5;rosette
1F3F7;label
#1F3F8;BADMINTON RACQUET AND SHUTTLECOCK
#1F3F9;BOW AND ARROW
1F3FA;amphora
1F43F;chipmunk
1F441;eye
#1F4F8;CAMERA WITH FLASH
#1F4FD;FILM PROJECTOR
#1F4FF;PRAYER BEADS
#1F549;OM SYMBOL
#1F54A;DOVE OF PEACE
1F54B;kaaba
1F54C;mosque
1F54D;synagogue
#1F54E;MENORAH WITH NINE BRANCHES
1F56F;candle
#1F570;MANTELPIECE CLOCK
1F573;hole
#1F574;MAN IN BUSINESS SUIT LEVITATING
#1F575;SLEUTH OR SPY
#1F576;DARK SUNGLASSES
1F577;spider
#1F578;SPIDER WEB
1F579;joystick
#1F587;LINKED PAPERCLIPS
#1F58A;LOWER LEFT BALLPOINT PEN
#1F58B;LOWER LEFT FOUNTAIN PEN
#1F58C;LOWER LEFT PAINTBRUSH
#1F58D;LOWER LEFT CRAYON
#1F590;RAISED HAND WITH FINGERS SPLAYED
#1F595;REVERSED HAND WITH MIDDLE FINGER EXTENDED
#1F5A5;DESKTOP COMPUTER
1F5A8;printer
#1F5B1;THREE BUTTON MOUSE
1F5B2;trackball
#1F5BC;FRAME WITH PICTURE
#1F5C2;CARD INDEX DIVIDERS
#1F5C3;CARD FILE BOX
#1F5C4;FILE CABINET
1F5D1;wastebasket
#1F5D2;SPIRAL NOTE PAD
#1F5D3;SPIRAL CALENDAR PAD
1F5DC;compression
#1F5DD;OLD KEY
#1F5DE;ROLLED-UP NEWSPAPER
#1F5E1;DAGGER KNIFE
#1F5E3;SPEAKING HEAD IN SILHOUETTE
#1F5E8;LEFT SPEECH BUBBLE
#1F5EF;RIGHT ANGER BUBBLE
#1F5F3;BALLOT BOX WITH BALLOT
#1F5FA;WORLD MAP
#1F641;SLIGHTLY FROWNING FACE
#1F642;SLIGHTLY SMILING FACE
#1F643PSIDE-DOWN FACE
#1F644;FACE WITH ROLLING EYES
#1F6CB;COUCH AND LAMP
#1F6CC;SLEEPING ACCOMMODATION
#1F6CD;SHOPPING BAGS
#1F6CE;BELLHOP BELL
1F6CF;bed
#1F6D0;PLACE OF WORSHIP
#1F6E0;HAMMER AND WRENCH
1F6E1;shield
#1F6E2;OIL DRUM
1F6E3;motorway
#1F6E4;RAILWAY TRACK
#1F6E5;MOTOR BOAT
#1F6E9;SMALL AIRPLANE
#1F6EB;AIRPLANE DEPARTURE
#1F6EC;AIRPLANE ARRIVING
1F6F0;satellite
#1F6F3;PASSENGER SHIP
#1F910;ZIPPER-MOUTH FACE
#1F911;MONEY-MOUTH FACE
#1F912;FACE WITH THERMOMETER
#1F913;NERD FACE
#1F914;THINKING FACE
#1F915;FACE WITH HEAD-BANDAGE
#1F916;ROBOT FACE
#1F917;HUGGING FACE
#1F918;SIGN OF THE HORNS
1F980;crab
#1F981;LION FACE
1F982;scorpian
1F983;turkey
#1F984NICORN FACE
#1F9C0;CHEESE WEDGE
2328;keyboard
#23ED;BLACK RIGHT-POINTING DOUBLE TRIANGLE WITH VERTICAL BAR
