
1F6DD;playground_slide
1F6DE;wheel
1F6DF;ring_buoy
1F7F0;heavy_equals_sign
1F979;face_holding_back_tears
1F9CC;troll
1FA7B;x-ray
1FA7C;crutch
1FAA9;mirror_ball
1FAAA;identification_card
1FAAB;low_battery
1FAAC;hamsa
1FAB7;lotus
1FAB8;coral
1FAB9;empty_nest
1FABA;nest_with_eggs
1FAC3;pregnant_man
1FAC4;pregnant_person
1FAC5;person_with_crown
1FAD7;pouring_liquid
1FAD8;beans
1FAD9;jar
1FAE0;melting_face
1FAE1;saluting_face
1FAE2;face_with_open_eyes_and_hand_over_mouth
1FAE3;face_with_peeking_eye
1FAE4;face_with_diagonal_mouth
1FAE5;dotted_line_face
1FAE6;biting_lip
1FAE7;bubbles
1FAF0;hand_with_index_finger_and_thumb_crossed
1FAF1;rightwards_hand
1FAF2;leftwards_hand
1FAF3;palm_down_hand
1FAF4;palm_up_hand
1FAF5;index_pointing_at_the_viewer
1FAF6;heart_hands

1FAC3{SKIN!};pregnant_man
1FAC4{SKIN!};pregnant_person
1FAC5{SKIN!};person_with_crown
1FAF0{SKIN!};hand_with_index_finger_and_thumb_crossed
1FAF1{SKIN!};rightwards_hand
1FAF2{SKIN!};leftwards_hand
1FAF3{SKIN!};palm_down_hand
1FAF4{SKIN!};palm_up_hand
1FAF5{SKIN!};index_pointing_at_the_viewer
1FAF6{SKIN!};heart_hands

1FAF1{SKIN!}-200D-1FAF2{SKIN2};handshake
