#Conversion fetched from http://www.unicode.org/Public/UNIDATA/EmojiSources.txt
#The emoji->softbank table can be found on the official softbank site:
#http://creation.mb.softbank.jp/mc/tech/tech_pic/pic_material_1.html
#softbank->sjis (needed for unicode.org's table) can be found here:
#http://cpansearch.perl.org/src/MIYAGAWA/Encode-JP-Mobile-0.18/ucm/x-utf8-softbank.ucm
#The following emoji have special notes
#E02D received an update. The old character matches 1F559 'CLOCK FACE TEN OCLOCK' as is in the table.
#The new character matches both 1F559 and 23f0 'ALARM CLOCK', but better fits 23f0.
#E02D 1F559 #Old Emoji = 10 oclock
#E02D 23F0 #New emoji = Alarm Clock
#E211 was missing in the original source. It was added as U+27BF 'DOUBLE CURLY LOOP' as expected.
#E50A is not an official unicode character, however it has been
#implemented in Twitter and IOS 5.0 emoji sets as E50A 'SHIBUYA'. This mapping was added to the table.
E001 1F466
E002 1F467
E003 1F48B
E004 1F468
E005 1F469
E006 1F455
E007 1F45F
E008 1F4F7
E009 260E
E00A 1F4F1
E00B 1F4E0
E00C 1F4BB
E00D 1F44A
E00E 1F44D
E00F 261D
E010 270A
E011 270C
E012 270B
E013 1F3BF
E014 26F3
E015 1F3BE
E016 26BE
E017 1F3C4
E018 26BD
E019 1F41F
E01A 1F434
E01B 1F697
E01C 26F5
E01D 2708
E01E 1F683
E01F 1F685
E020 2753
E021 2757
E022 2764
E023 1F494
E024 1F550
E025 1F551
E026 1F552
E027 1F553
E028 1F554
E029 1F555
E02A 1F556
E02B 1F557
E02C 1F558
E02D 1F559
E02E 1F55A
E02F 1F55B
E030 1F338
E031 1F531
E032 1F339
E033 1F384
E034 1F48D
E035 1F48E
E036 1F3E0
E037 26EA
E038 1F3E2
E039 1F689
E03A 26FD
E03B 1F5FB
E03C 1F3A4
E03D 1F3A5
E03E 1F3B5
E03F 1F511
E040 1F3B7
E041 1F3B8
E042 1F3BA
E043 1F374
E044 1F378
E045 2615
E046 1F370
E047 1F37A
E048 26C4
E049 2601
E04A 2600
E04B 2614
E04C 1F319
E04D 1F304
E04E 1F47C
E04F 1F431
E050 1F42F
E051 1F43B
E052 1F436
E053 1F42D
E054 1F433
E055 1F427
E056 1F60A
E057 1F603
E058 1F61E
E059 1F620
E05A 1F4A9
E101 1F4EB
E102 1F4EE
E103 1F4E9
E104 1F4F2
E105 1F61C
E106 1F60D
E107 1F631
E108 1F613
E109 1F435
E10A 1F419
E10B 1F437
E10C 1F47D
E10D 1F680
E10E 1F451
E10F 1F4A1
E110 1F340
E111 1F48F
E112 1F381
E113 1F52B
E114 1F50D
E115 1F3C3
E116 1F528
E117 1F386
E118 1F341
E119 1F342
E11A 1F47F
E11B 1F47B
E11C 1F480
E11D 1F525
E11E 1F4BC
E11F 1F4BA
E120 1F354
E121 26F2
E122 26FA
E123 2668
E124 1F3A1
E125 1F3AB
E126 1F4BF
E127 1F4C0
E128 1F4FB
E129 1F4FC
E12A 1F4FA
E12B 1F47E
E12C 303D
E12D 1F004
E12E 1F19A
E12F 1F4B0
E130 1F3AF
E131 1F3C6
E132 1F3C1
E133 1F3B0
E134 1F40E
E135 1F6A4
E136 1F6B2
E137 1F6A7
E138 1F6B9
E139 1F6BA
E13A 1F6BC
E13B 1F489
E13C 1F4A4
E13D 26A1
E13E 1F460
E13F 1F6C0
E140 1F6BD
E141 1F50A
E142 1F4E2
E143 1F38C
E144 1F512
E145 1F513
E146 1F306
E147 1F373
E148 1F4D6
E149 1F4B1
E14A 1F4B9
E14B 1F4E1
E14C 1F4AA
E14D 1F3E6
E14E 1F6A5
E14F 1F17F
E150 1F68F
E151 1F6BB
E152 1F46E
E153 1F3E3
E154 1F3E7
E155 1F3E5
E156 1F3EA
E157 1F3EB
E158 1F3E8
E159 1F68C
E15A 1F695
E201 1F6B6
E202 1F6A2
E203 1F201
E204 1F49F
E205 2734
E206 2733
E207 1F51E
E208 1F6AD
E209 1F530
E20A 267F
E20B 1F4F6
E20C 2665
E20D 2666
E20E 2660
E20F 2663
E210 0023-20E3
E211 27BF
E212 1F195
E213 1F199
E214 1F192
E215 1F236
E216 1F21A
E217 1F237
E218 1F238
E219 1F534
E21A 1F532
E21B 1F533
E21C 0031-20E3
E21D 0032-20E3
E21E 0033-20E3
E21F 0034-20E3
E220 0035-20E3
E221 0036-20E3
E222 0037-20E3
E223 0038-20E3
E224 0039-20E3
E225 0030-20E3
E226 1F250
E227 1F239
E228 1F202
E229 1F194
E22A 1F235
E22B 1F233
E22C 1F22F
E22D 1F23A
E22E 1F446
E22F 1F447
E230 1F448
E231 1F449
E232 2B06
E233 2B07
E234 27A1
E235 2B05
E236 2197
E237 2196
E238 2198
E239 2199
E23A 25B6
E23B 25C0
E23C 23E9
