<3	heart
</3	broken_heart
:)	slightly_smiling_face
(:	slightly_smiling_face
:-)	slightly_smiling_face
C:	smile
c:	smile
:D	smile
:-D	smile
;)	wink
;-)	wink
):	disappointed
:(	disappointed
:-(	disappointed
:'(	cry
=)	smiley
=-)	smiley
:*	kissing_heart
:-*	kissing_heart
:>	laughing
:->	laughing
8)	sunglasses
:\	confused
:-\	confused
:/	confused
:-/	confused
:|	neutral_face
:-|	neutral_face
:o	open_mouth
:-o	open_mouth
:O	open_mouth
:-O	open_mouth
>:(	angry
>:-(	angry
:p	stuck_out_tongue
:-p	stuck_out_tongue
:P	stuck_out_tongue
:-P	stuck_out_tongue
:b	stuck_out_tongue
:-b	stuck_out_tongue
;p	stuck_out_tongue_winking_eye
;-p	stuck_out_tongue_winking_eye
;b	stuck_out_tongue_winking_eye
;-b	stuck_out_tongue_winking_eye
;P	stuck_out_tongue_winking_eye
;-P	stuck_out_tongue_winking_eye
:o)	monkey_face
D:	anguished
