0023-20e3;0023-fe0f-20e3
0030-20e3;0030-fe0f-20e3
0031-20e3;0031-fe0f-20e3
0032-20e3;0032-fe0f-20e3
0033-20e3;0033-fe0f-20e3
0034-20e3;0034-fe0f-20e3
0035-20e3;0035-fe0f-20e3
0036-20e3;0036-fe0f-20e3
0037-20e3;0037-fe0f-20e3
0038-20e3;0038-fe0f-20e3
0039-20e3;0039-fe0f-20e3
00a9;00a9-fe0f
00ae;00ae-fe0f
1f004;1f004-fe0f
1f170;1f170-fe0f
1f171;1f171-fe0f
1f17e;1f17e-fe0f
1f17f;1f17f-fe0f
1f202;1f202-fe0f
1f21a;1f21a-fe0f
1f22f;1f22f-fe0f
1f237;1f237-fe0f
203c;203c-fe0f
21a9;21a9-fe0f
21aa;21aa-fe0f
231a;231a-fe0f
231b;231b-fe0f
24c2;24c2-fe0f
25aa;25aa-fe0f
25ab;25ab-fe0f
25b6;25b6-fe0f
25c0;25c0-fe0f
25fb;25fb-fe0f
25fc;25fc-fe0f
25fd;25fd-fe0f
25fe;25fe-fe0f
260e;260e-fe0f
261d;261d-fe0f
263a;263a-fe0f
264a;264a-fe0f
264b;264b-fe0f
264c;264c-fe0f
264d;264d-fe0f
264e;264e-fe0f
264f;264f-fe0f
267b;267b-fe0f
267f;267f-fe0f
26a0;26a0-fe0f
26a1;26a1-fe0f
26aa;26aa-fe0f
26ab;26ab-fe0f
26bd;26bd-fe0f
26be;26be-fe0f
26c4;26c4-fe0f
26c5;26c5-fe0f
26d4;26d4-fe0f
26ea;26ea-fe0f
26f2;26f2-fe0f
26f3;26f3-fe0f
26f5;26f5-fe0f
26fa;26fa-fe0f
26fd;26fd-fe0f
270c;270c-fe0f
270f;270f-fe0f
27a1;27a1-fe0f
2b05;2b05-fe0f
2b06;2b06-fe0f
2b07;2b07-fe0f
2b1b;2b1b-fe0f
2b1c;2b1c-fe0f
2b50;2b50-fe0f
2b55;2b55-fe0f
303d;303d-fe0f
2049;2049-fe0f
2122;2122-fe0f
2139;2139-fe0f
2194;2194-fe0f
2195;2195-fe0f
2196;2196-fe0f
2197;2197-fe0f
2198;2198-fe0f
2199;2199-fe0f
2600;2600-fe0f
2601;2601-fe0f
2611;2611-fe0f
2614;2614-fe0f
2615;2615-fe0f
2648;2648-fe0f
2649;2649-fe0f
2650;2650-fe0f
2651;2651-fe0f
2652;2652-fe0f
2653;2653-fe0f
2660;2660-fe0f
2663;2663-fe0f
2665;2665-fe0f
2666;2666-fe0f
2668;2668-fe0f
2693;2693-fe0f
2702;2702-fe0f
2708;2708-fe0f
2709;2709-fe0f
2712;2712-fe0f
2714;2714-fe0f
2716;2716-fe0f
2733;2733-fe0f
2734;2734-fe0f
2744;2744-fe0f
2747;2747-fe0f
2757;2757-fe0f
2764;2764-fe0f
2934;2934-fe0f
2935;2935-fe0f
3030;3030-fe0f
3297;3297-fe0f
3299;3299-fe0f
