# emoji-sequences.txt
# Date: 2019-10-12, 21:18:36 GMT
# © 2019 Unicode®, Inc.
# Unicode and the Unicode Logo are registered trademarks of Unicode, Inc. in the U.S. and other countries.
# For terms of use, see http://www.unicode.org/terms_of_use.html
#
# Emoji Sequence Data for UTS #51
# Version: 12.1
#
# For documentation and usage, see http://www.unicode.org/reports/tr51
#
# Format:
#   code_point(s) ; type_field ; description # comments 
# Fields:
#   code_point(s): one or more code points in hex format, separated by spaces
#   type_field, one of the following: 
#       Basic_Emoji
#       Emoji_Keycap_Sequence
#       Emoji_Flag_Sequence
#       Emoji_Tag_Sequence
#       Emoji_Modifier_Sequence
#     The type_field is a convenience for parsing the emoji sequence files, and is not intended to be maintained as a property.
#   short name: CLDR short name of sequence; characters may be escaped with \x{hex}.
#
# Characters and sequences are listed in code point order. Users should be shown a more natural order.
# See the CLDR collation order for Emoji.

# ================================================

# Basic_Emoji

231A..231B    ; Basic_Emoji              ; watch                                                          # E2.0   [2] (⌚..⌛)
23E9..23EC    ; Basic_Emoji              ; fast-forward button                                            # E2.0   [4] (⏩..⏬)
23F0          ; Basic_Emoji              ; alarm clock                                                    # E2.0   [1] (⏰)
23F3          ; Basic_Emoji              ; hourglass not done                                             # E2.0   [1] (⏳)
25FD..25FE    ; Basic_Emoji              ; white medium-small square                                      # E2.0   [2] (◽..◾)
2614..2615    ; Basic_Emoji              ; umbrella with rain drops                                       # E2.0   [2] (☔..☕)
2648..2653    ; Basic_Emoji              ; Aries                                                          # E2.0  [12] (♈..♓)
267F          ; Basic_Emoji              ; wheelchair symbol                                              # E2.0   [1] (♿)
2693          ; Basic_Emoji              ; anchor                                                         # E2.0   [1] (⚓)
26A1          ; Basic_Emoji              ; high voltage                                                   # E2.0   [1] (⚡)
26AA..26AB    ; Basic_Emoji              ; white circle                                                   # E2.0   [2] (⚪..⚫)
26BD..26BE    ; Basic_Emoji              ; soccer ball                                                    # E2.0   [2] (⚽..⚾)
26C4..26C5    ; Basic_Emoji              ; snowman without snow                                           # E2.0   [2] (⛄..⛅)
26CE          ; Basic_Emoji              ; Ophiuchus                                                      # E2.0   [1] (⛎)
26D4          ; Basic_Emoji              ; no entry                                                       # E2.0   [1] (⛔)
26EA          ; Basic_Emoji              ; church                                                         # E2.0   [1] (⛪)
26F2..26F3    ; Basic_Emoji              ; fountain                                                       # E2.0   [2] (⛲..⛳)
26F5          ; Basic_Emoji              ; sailboat                                                       # E2.0   [1] (⛵)
